
Провести диагностику смартфона	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 0.981	Другое = 0.019
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	ремонт(1;1.0;ремонт), модель телефона(1;0.3;iphon 5), модель телефона(1;0.3;iphon), гаджет(1;1.0;iphon)
Ремонт телефона Samsung Galaxy 4s	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	гаджет(1;1.0;телефон), телефон(1;1.0;телефон), производитель электроники(1;0.3;samsung), производитель аудио(1;0.3;samsung), ремонт(1;1.0;ремонт)
Ремонт телефона Sony Xperia Z1	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	гаджет(1;1.0;телефон), телефон(1;1.0;телефон), модель телефона(1;0.3;xper z1), ремонт(1;1.0;ремонт), производитель электроники(1;0.3;son)
Ремонт телефона Sony Xperia Z3	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	гаджет(1;1.0;телефон), телефон(1;1.0;телефон), модель телефона(1;0.3;xper z3), ремонт(1;1.0;ремонт), производитель электроники(1;0.3;son)
Ремонт планшета	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	ремонт(1;1.0;ремонт), гаджет(1;1.0;планшет)
Замена дисплея Sony Xperia Z C6603 black	BAD weak-match	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 0.726	Ремонт цифровой техники = 0.273	Работа = 0.002
	замена(1;1.0;зам), модель телефона(1;0.3;xper z), экран(1;1.0;диспле), производитель электроники(1;0.3;son)
Замена дисплея Sony Xperia Z C6603 black	BAD weak-match	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 0.726	Ремонт цифровой техники = 0.273	Работа = 0.002
	замена(1;1.0;зам), модель телефона(1;0.3;xper z), экран(1;1.0;диспле), производитель электроники(1;0.3;son)
Замена дисплея Sony Xperia Z C6603 black	BAD weak-match	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 0.726	Ремонт цифровой техники = 0.273	Работа = 0.002
	замена(1;1.0;зам), модель телефона(1;0.3;xper z), экран(1;1.0;диспле), производитель электроники(1;0.3;son)
Ремонт телефона	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	гаджет(1;1.0;телефон), телефон(1;1.0;телефон), ремонт(1;1.0;ремонт)
Мастер на ремонт телефонов и планшетов	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	гаджет(1;1.0;телефон), телефон(1;1.0;телефон), мастер(1;1.0;мастер), ремонт(1;1.0;ремонт), гаджет(1;1.0;планшет)
Поменять разбитое стекло на iphope 5 (или 5s)	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	замена(1;1.0;поменя), гаджет(1;1.0;iphop), стекло(1;1.0;стекл), сломалось(1;1.0;разбит)
Ремонт телефона Samsung	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	гаджет(1;1.0;телефон), телефон(1;1.0;телефон), производитель электроники(1;0.3;samsung), производитель аудио(1;0.3;samsung), ремонт(1;1.0;ремонт)
Ремонт Apple iPhone 4S	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
	ремонт(1;1.0;ремонт), производитель электроники(1;0.3;appl), производитель телефонов(1;0.3;appl), производитель смарт-часов(1;0.3;appl), производитель планшетов(1;0.3;appl), модель телефона(1;0.3;iphon), гаджет(1;1.0;iphon), модель телефона(1;0.3;iphon 4s)
